Timeline,Error_X,Error_Y,Error_Z,PID_X,PID_Y,PID_Z
16.64839458465576,2.863262562012483,3.3934963697925724,0.34869662473993657,-13,13,-13
16.689181566238403,2.6805315625264794,3.4537618209475793,2.0077306184175114,-13,-13,-13
16.74207830429077,2.5431911570156758,3.761803586419021,0.3939572574450949,-13,-13,13
16.790542364120483,2.441699915048299,3.866024865493141,2.772658241055481,-13,-13,-13
16.846115827560425,2.6372249131109804,5.377870411049842,1.8259210343166075,-13,-25.4553129398905,13
16.88885736465454,2.835839798788421,5.619164045747427,0.9200041919078927,-13,-13,13
16.987619876861572,2.6865663601622796,5.114809031847416,1.8771700926429915,-13,-13,-13
17.044359922409058,2.5909862408797077,4.071549807096684,0.5130710002107932,-13,13,13
17.089377641677856,2.1768224549143382,3.0579172580939513,1.6922556719373674,13,15.036680210075929,-13
17.136427640914917,1.8489180966091776,2.5165829648291584,2.221309480963207,13,13,-13
17.473437547683716,-1.3477322455782794,6.842332939089726,1.6846624509398325,13,-17.760011396072684,13
17.543764114379883,-1.4308727372886005,6.094457955118114,0.3803026129749796,13,13,13
17.588531017303467,-1.2681409498765346,5.548116655709839,0.5558929745374428,-13,13,-13
17.636927366256714,-1.2509595447740078,4.949448633671074,-1.1882386030764707,13,13,13
17.704245805740356,-1.4096989789082428,3.7953434047529613,-0.9965904335297395,13,13,13
17.746840000152588,-1.5715751934761906,3.3003079063,1.065930244642857,13,13,-13
17.786407470703125,-1.273116579466908,4.402861503989723,0.32266033748869205,-13,-25.744609100035014,13
17.84151816368103,-1.4099104612489728,4.06704940744896,-1.0057411117344017,13,13,13
17.890319347381592,-1.4885594020661326,3.774561340953407,0.19180973841432092,13,13,-13
17.945136785507202,-1.7982633385404585,5.394790015621375,0.49863953358777025,13,-28.677263414569637,-13
17.9903302192688,-1.6297933831982752,5.432644610660917,-1.1172518699353162,13,-13,13
18.049160957336426,-1.5531284111704535,5.034278298276642,-0.2506711229917329,13,-13,-13
18.12803053855896,-1.435696107181258,6.380871587472258,0.17932886744758036,13,-21.05526732862294,-13
18.649330854415894,2.454596624946105,5.651280601620102,-4.219097745682973,-13,-13,13
18.696042776107788,2.929684977973327,5.014268519992809,-3.3826076965383223,-13,13,-13
18.747381448745728,3.53996902701873,4.7586468887792766,-5.286314022886415,-13.972457163447661,-13,13
18.795265674591064,3.9365662866554922,4.450031454480121,-4.18314597807867,-13,-13,-13
18.99036979675293,4.304064669496685,4.842072753183771,-0.525909414797141,-13,-13,-13
19.045914888381958,6.173187578884682,5.134707425427445,-4.90500959107726,-34.58742005996546,-13,13
19.09563946723938,6.413893453575701,5.364347252081496,-5.596637593387854,-13.420884983349346,-13,13
19.14796233177185,6.450396066793674,5.688076531627148,-5.969959774026208,-13,-13.209157515434175,13
19.394901990890503,5.605636384022513,-0.1789032888517823,-7.088733319418367,-13,18.061786570878613,13
19.444895267486572,5.30980693333369,-0.8544516904215134,-8.661296551728753,-13,13,13
19.49342679977417,4.844871040050997,-1.0168247861835427,-7.289875556263851,-13,13,-13
19.544241189956665,4.05194393101522,0.059587410750223814,-7.035837094001792,13,-15.980171299954819,13
19.645790338516235,3.5553176634240566,-0.24103848565586825,-7.792074090712944,-13,13,13
19.89728021621704,1.2500952401849625,1.309623584955675,-6.969387867051566,13,-13,13
19.949148178100586,0.8345485085192786,1.3710439782816721,-7.06193372029918,13,-13,13
20.196015119552612,-2.229282219616546,1.8075261240134157,-7.7822296505030835,13,-13,13
